itemID	规范主条目itemID	是否重复记录	标题	作者	日期	DOI	现有分类	建议分类	置信度	判定依据	附件数	可用PDF数	摘要摘录
418	418	否	Mechanisms and Computational Design of Multi-Modal End-Effector with Force Sensing Using Gated Networks	Yusuke Tanaka; Alvin Zhu; Richard Lin; Ankur Mehta; Dennis Hong	2025-05	10.1109/ICRA55743.2025.11127886	血管介入 / 传感方法	近端力与扭矩感知 | 待核实/跨域方法/网页	低	通用多模态末端力传感器设计，不是血管介入专用。	1	1	In limbed robotics, end-effectors must serve dual functions, such as both feet for locomotion and grippers for grasping, which presents design challenges. This paper introduces a multi-modal end-effector capable of transitioning between flat and line foot configurations while providing grasping capabilities. MAGPIE integrates eight-axis force sensing using proposed mechanisms with Hall effect sens
420	420	否	Feasibility and Safety of Robotic Peripheral Vascular Interventions: Results of the RAPID Trial				血管介入 / 实例	临床验证、产品与系统实例	中	RAPID临床试验结果；无机构细节。	1	1	AbstractObjectivesThe goal of this study was to evaluate the feasibility and safety of a robotic-assisted platform (CorPath 200, Corindus Vascular Robotics, Waltham, Massachusetts) for treating per...
425	425	否	Feasibility of robotic neuroendovascular surgery	Joseph D. Morrison; Krishna C. Joshi; Andre Beer Furlan; Bradley Kolb; Yazan Radaideh; Stephan Munich; Webster Crowley; Michael Chen	2024-10	10.1177/15910199221097898	血管介入 / 实例	临床验证、产品与系统实例	高	机器人神经血管手术可行性研究。	2	1	Background Several recent reports of CorPath GRX vascular robot (Cordinus Vascular Robotics, Natick, MA) use intracranially suggest feasibility of neuroendovascular application. Further use and development is likely. During this progression it is important to understand endovascular robot feasibility principles established in cardiac and peripheral vascular literature which enabled extension intra
431	431	否	Enhancing robotic telesurgery with sensorless haptic feedback	Nural Yilmaz; Brendan Burkhart; Anton Deguet; Peter Kazanzides; Ugur Tumerdem	2024-06	10.1007/s11548-024-03117-y	血管介入 / 传感方法	力反馈与安全控制 | 主从人机交互 | 力波动与扰动补偿	中	无传感器触觉增强与力估计；通用手术遥操作参考。	1	1	This paper evaluates user performance in telesurgical tasks with the da Vinci Research Kit (dVRK), comparing unilateral teleoperation, bilateral teleoperation with force sensors and sensorless force estimation.
433	433	否	Toward a Versatile Robotic Platform for Fluoroscopy and MRI-Guided Endovascular Interventions: A Pre-Clinical Study	Mohamed E. M. K. Abdelaziz; Dennis Kundrat; Marco Pupillo; Giulio Dagnino; Trevor M. Y. Kwok; Wenqiang Chi; Vincent Groenhuis; Françoise J. Siepel; Celia Riga; Stefano Stramigioli; Guang-Zhong Yang	2019-11	10.1109/IROS40897.2019.8968237	血管介入 / 传感方法	夹持式机构 | 力反馈与安全控制 | 主从人机交互 | 临床验证、产品与系统实例	高	CathBot使用定制气动夹具、主从触觉/视觉导航并做临床前验证。	1	1	Cardiovascular diseases remain as the most common cause of death worldwide. Remotely manipulated robotic systems are utilized to perform minimally invasive endovascular interventions. The main benefits of this methodology include reduced recovery time, improvement of clinical skills and procedural facilitation. Currently, robotic assistance, precision, and stability of instrument manipulation are 
435	435	否	Unified Shape and External Load State Estimation for Continuum Robots	James M. Ferguson; D. Caleb Rucker; Robert J. Webster	2024	10.1109/tro.2024.3360950	血管介入 / 传感方法	近端力与扭矩感知 | 导管屈曲/形态感知 | 力波动与扰动补偿	中	连续体机器人形态与外载荷统一估计；方法参考。	2	1	Continuum robots navigate narrow, winding passageways while safely and compliantly interacting with their environments. Sensing the robot’s shape under these conditions is often done indirectly, using a few coarsely distributed (e.g. strain or position) sensors combined with the robot’s mechanics-based model. More recently, given high-fidelity shape data, external interaction loads along the robot
440	440	否	Features and Limitations of Robotically Assisted Percutaneous Coronary Intervention (R-PCI): A Systematic Review of R-PCI	Max Wagener; Yoshinobu Onuma; Ruth Sharif; Eileen Coen; William Wijns; Faisal Sharif	2024-09	10.3390/jcm13185537	血管介入 / 实例	综述 | 临床验证、产品与系统实例	高	R-PCI系统评价。	1	1	Background: Ischaemic heart disease is one of the major drivers of cardiovascular death in Europe. Since the first percutaneous coronary intervention ...
442	261	是	Advantage of Steerable Catheter and Haptic Feedback for a 5-DOF Vascular Intervention Robot System	Jaehong Woo; Hwa-Seob Song; Hyo-Jeong Cha; Byung-Ju Yi	2019-10	10.3390/app9204305	血管介入 / 实例	非夹持式连续输送 | 近端力与扭矩感知 | 力反馈与安全控制 | 主从人机交互	中	与itemID 261同DOI/题名的重复记录。	1	1	Vascular intervention involves inserting a catheter and guidewire into blood vessels to diagnose and treat a disease in an X-ray environment. In this ...
446	446	否	Evaluation of Fully Teleoperated Robotic Endovascular Interventions with Haptic Feedback: The SENTANTE Endovascular Robotic System	Emiel W. M. Huistra; Giovanni Federico Torsello; Konstantinos Stavroulakis; Lorenzo Patrone; Arturas Mackevicius; Max Amor; Vilius Dambrauskas; Vaidas Labunskas; Leona Damalakiene; Clark J. Zeebregts; Tomas Baltrunas	2026-02	10.1007/s00270-026-04375-w	血管介入 / 实例	临床验证、产品与系统实例 | 力反馈与安全控制 | 主从人机交互	高	SENTANTE全遥操作、触觉反馈评估。	1	1	To evaluate a fully robotic, teleoperated system for performing various endovascular interventions in a preclinical porcine model.
451	451	否	Sensor-Free Strategy for Estimating Guidewire/Catheter Shape and Contact Force in Endovascular Interventions	Naner Li; Yiwei Wang; Huan Zhao; Han Ding	2025-01	10.1109/LRA.2024.3504236	血管介入 / 传感方法	近端力与扭矩感知 | 导管屈曲/形态感知 | 力波动与扰动补偿	高	无传感器导丝/导管形状和接触力估计。	1	1	Accurate assessment of guidewire shape and contact forces is critical for autonomous robotic endovascular procedures. However, existing sensor-based approaches often require modifications to standard guidewires or the use of custom-made alternatives, which can hinder integration into conventional surgical workflows and increase costs. Moreover, the sensor-based method can only obtain partial force
453	453	否	Cardiovascular diseases (CVDs)				血管介入 / 中期	待核实/跨域方法/网页	低	疾病百科网页，不是研究论文。	1	1	WHO cardiovascular diseases fact sheet providing key facts and information on risk factors, symptoms, rheumatic heart disease, treatment and prevention, WHO response.
455	455	否	Endovascular Interventions for Peripheral Artery Disease: A Contemporary Review	Nathan W. Watson; Ramya C. Mosarla; Eric A. Secemsky	2023-11	10.1007/s11886-023-01973-9	血管介入 / 中期	综述	高	外周动脉疾病介入综述。	1	1	Peripheral artery disease (PAD) is an increasingly prevalent but frequently underdiagnosed condition that can be associated with high rates of morbidity and mortality. While an initial noninvasive approach is the cornerstone of management, revascularization is often pursued for patients with treatment-refractory claudication or chronic limb-threatening ischemia (CLTI). In this review, we discuss t
457	457	否	Pilot Animal Study on Robotic-Assisted Endovascular Visceral Interventions	Patrick A. Kupczyk; Ulrike I. Attenberger; Carsten Meyer; Julian A. Luetkens; Daniel Kuetting	2022-08	10.1007/s00270-022-03204-0	血管介入 / 夹持机构	夹持式机构 | 力反馈与安全控制 | 主从人机交互 | 临床验证、产品与系统实例	中	CathBot在体研究；平台使用气动夹具，但本条目正文需核实机构细节。	1	1	To evaluate technical feasibility and safety of common endovascular visceral interventions using a vascular robotic platform through preclinical study.
459	459	否	Evaluation of the R-One robotic system for percutaneous coronary intervention: the R-EVOLUTION study	Eric Durand; Remi Sabatier; Pieter C. Smits; Stefan Verheye; Bruno Pereira; Jean Fajadet		10.4244/EIJ-D-22-00642	血管介入 / 夹持机构	临床验证、产品与系统实例 | 非夹持式连续输送 | 待核实/跨域方法/网页	低	R-One临床网页；滚轮/连续输送信息不足。	1	1	A multicenter study evaluates the R-One robotic system for PCI, finding a 100% clinical success rate and over 75% reduction in operator radiation exposure compared to manual PCI in 62 patients.
464	451	是	Sensor-Free Strategy for Estimating Guidewire/Catheter Shape and Contact Force in Endovascular Interventions	Naner Li; Yiwei Wang; Huan Zhao; Han Ding	2025-01	10.1109/LRA.2024.3504236	血管介入 / 传感方法	近端力与扭矩感知 | 导管屈曲/形态感知 | 力波动与扰动补偿	高	与itemID 451同DOI/题名的重复记录。	1	1	Accurate assessment of guidewire shape and contact forces is critical for autonomous robotic endovascular procedures. However, existing sensor-based approaches often require modifications to standard guidewires or the use of custom-made alternatives, which can hinder integration into conventional surgical workflows and increase costs. Moreover, the sensor-based method can only obtain partial force
466	316	是	Multi-point bending operation force detection method of catheter-based on rotary clamping delivery		2025-02	10.1016/j.sna.2024.116128	血管介入 / 中期 | 血管介入 / 传感方法	夹持式机构 | 近端力与扭矩感知	高	旋转夹持递送和多点弯曲力检测/标定；没有直接证明抑制重夹持力波动，因此不进入降低力波动子类。	1	1	Compared with traditional vascular interventional surgery (VIS), VIS robots have the advantages of no radiation and high precision to complete interve…
469	469	否	A Switched System Dwell-Time Update Mechanism for Path Following With Intermittent State Feedback Constraints	Duc M. Le; Andrew R. Teel; Warren E. Dixon	2024-07	10.1109/TAC.2024.3362865	血管介入 / 传感方法	待核实/跨域方法/网页	低	通用间歇状态反馈切换控制，未明确用于血管机器人。	1	1	This article focuses on a class of problems where a switched system approach is used to model intermittencies in state feedback. Speciﬁcally, a single-agent with nonlinear dynamics is tasked with following a desired path that lies in a feedbackdenied region where state feedback is unavailable. As a result, the agent must use open-loop state estimates (dead-reckon) to navigate along the desired pat
476	476	否	Safe haptic teleoperations of admittance controlled robots with virtualization of the force feedback	Lorenzo Pagliara; Enrico Ferrentino; Andrea Chiacchio; Giovanni Russo	2024-08	10.1109/CASE59546.2024.10711457	血管介入 / 传感方法	力反馈与安全控制 | 主从人机交互 | 力波动与扰动补偿	中	安全触觉遥操作与能量/虚拟力反馈稳定化。	1	1	Haptic teleoperations play a key role in extending human capabilities to perform complex tasks remotely, employing a robotic system. The impact of haptics is far-reaching and can improve the sensory awareness and motor accuracy of the operator. In this context, a key challenge is attaining a natural, stable and safe haptic human-robot interaction. Achieving these conflicting requirements is partic
481	481	否	中国心血管健康与疾病报告2024概要	国家心血管病中心; 中国心血管健康与疾病报告编写组; 胡盛寿	2025	10.3969/j.issn.1000-3614.2025.06.001	血管介入 / 中期	待核实/跨域方法/网页	低	心血管健康统计报告，不是机器人研究。	1	1	"《中国心血管健康与疾病报告》由国家卫生健康委员会指导、国家心血管病中心主持编撰,自2005年创刊以来,已走过了20年历程.报告始终秉持权威性、专业性、代表性和前瞻性编撰原则,通过持续追踪、分析和传播心血管健康相关因素的变化和疾病发病趋势,为公共卫生政策制定、医疗资源配置、重点干预领域确定等关键决策提供科学依据.心血管病(CVD)目前仍位居中国城乡居民的首位死因,2021年分别占农村、城市死因的48.98%和47.35%,即每5例死亡中约2例归因于CVD.《健康中国行动(2019-2030年)》15个专项行动中设立""心脑血管疾病防治行动"",明确提出""到2030年心脑血管疾病死亡率降至190.7/10万及以下""的战略目标.为实现这一目标,需构建精细化监测评估体系,不仅要监测和报告CVD发病率、患病率、死亡率、疾病负担和医疗质量情况,还要积极推动和监测心血管健康指..."
486	232	是	Autonomous Navigation for Robot-Assisted Intraluminal and Endovascular Procedures: A Systematic Review	Ameya Pore; Zhen Li; Diego Dall'Alba; Albert Hernansanz; Elena De Momi; Arianna Menciassi; Alicia Casals Gelpí; Jenny Dankelman; Paolo Fiorini; Emmanuel Vander Poorten	2023-08	10.1109/TRO.2023.3269384	血管介入 / 中期	综述 | 自主导航、图像引导与技能学习	高	与itemID 232同DOI/题名的重复记录。	1	1	Increased demand for less invasive procedures has accelerated the adoption of Intraluminal Procedures (IP) and Endovascular Interventions (EI) performed through body lumens and vessels. As navigation through lumens and vessels is quite complex, interest grows to establish autonomous navigation techniques for IP and EI for reaching the target area. Current research efforts are directed toward incre
489	489	否	MR-based navigation for robot-assisted endovascular procedures	Jelle Bijlsma; Dennis Kundrat; Giulio Dagnino	2024-12	10.1007/s41315-024-00340-3	血管介入 / 中期	自主导航、图像引导与技能学习 | 综述	中	MR导航相关综述/方法，需确认全文是否综述型文章。	1	1	There is increasing interests in robotic and computer technologies to accurately perform endovascular intervention. One major limitation of current endovascular intervention—either manual or robot-assisted is the surgical navigation which still relies on 2D fluoroscopy. Recent research efforts are towards MRI-guided interventions to reduce ionizing radiation exposure, and to improve diagnosis, pla
490	490	否	Robotic technology in cardiovascular medicine	Johannes Bonatti; George Vetrovec; Celia Riga; Oussama Wazni; Petr Stadler	2014-05	10.1038/nrcardio.2014.23	血管介入 / 中期	综述 | 临床验证、产品与系统实例	高	心血管机器人技术综述。	1	1	The main fields of use of robotic technology in cardiovascular medicine are endoscopic cardiac and vascular surgery, endovascular surgery, catheter-based ablation therapy for atrial fibrillation, and percutaneous coronary interventionRobotic devices enable complex endoscopic reconstructive manoeuvres in narrow spaces and can increase surgical precision; however, robotically assisted totally endosc
492	492	否	Invariant Smoother for Legged Robot State Estimation With Dynamic Contact Event Information	Ziwon Yoon; Joon-Ha Kim; Hae-Won Park	2024	10.1109/TRO.2023.3328202	血管介入 / 估计方法参考	待核实/跨域方法/网页	低	腿式机器人状态估计，跨域参考。	1	1	This article proposes an invariant smoother for legged robot state estimation with the measurement of an inertial measurement unit and leg kinematics while assuming static foot contact. Because the proposed smoother is formulated with the residual functions with group-affine property, their Jacobians become independent from current state estimates. These state-independent Jacobians lead to better 
500	500	否	Contact Force Estimation of Robot Manipulators With Imperfect Dynamic Model: On Gaussian Process Adaptive Disturbance Kalman Filter	Yanran Wei; Shangke Lyu; Wenshuo Li; Xiang Yu; Zidong Wang; Lei Guo	2024-07	10.1109/TASE.2023.3280750	血管介入 / 估计方法参考	近端力与扭矩感知 | 力波动与扰动补偿 | 待核实/跨域方法/网页	中	高斯过程自适应扰动Kalman力估计；跨域方法参考。	0	0	This paper is concerned with the contact force estimation problem of robot manipulators based on imperfect dynamic models of the manipulator and the contact force. To handle the imperfect dynamic information of the manipulator, a hybrid model, consisting of the nominal model and the residual dynamics, is established for the manipulator, and the Gaussian process regression (GPR) technique is employ
505	505	否	Probabilistic Contact State Estimation for Legged Robots using Inertial Information	Michael Maravgakis; Despina-Ekaterini Argiropoulos; Stylianos Piperakis; Panos Trahanias	2023-05	10.1109/ICRA48891.2023.10161485	血管介入 / 估计方法参考	待核实/跨域方法/网页	低	腿式机器人接触状态估计，跨域参考。	1	1	Legged robot navigation in unstructured and slippery terrains depends heavily on the ability to accurately identify the quality of contact between the robot's feet and the ground. Contact state estimation is regarded as a challenging problem and is typically addressed by exploiting force measurements, joint encoders and/or robot kinematics and dynamics. In contrast to most state of the art approac
507	507	否	A Novel Master–Slave Interventional Surgery Robot with Force Feedback and Collaborative Operation	Yu Song; Liutao Li; Yu Tian; Zhiwei Li; Xuanchun Yin	2023-03	10.3390/s23073584	血管介入 / 传感方法	力反馈与安全控制 | 主从人机交互 | 近端力与扭矩感知	高	主从介入机器人、阻力测量及协同操作。	1	1	In recent years, master–slave vascular robots have been developed to address the problem of radiation exposure during vascular interventions for surge...
511	511	否	Analysis of Contact Stability and Contact Safety of a Robotic Intravascular Cardiac Catheter under Blood Flow Disturbances	Ran Hao; Nate Lombard Poirot; M. Cenk Çavuşoğlu	2020-10	10.1109/IROS45743.2020.9341527	血管介入 / 中期 | 血管介入 / 传感方法	力反馈与安全控制 | 导管屈曲/形态感知	中	血流扰动下导管接触稳定性/安全；没有夹持结构证据。	1	1	This paper studies the contact stability and contact safety of a robotic intravascular cardiac catheter under blood flow disturbances while in contact with tissue surface. A probabilistic blood flow disturbance model, where the blood flow drag forces on the catheter body are approximated using a quasi-static model, is introduced. Using this blood flow disturbance model, probabilistic contact stabi
513	513	否	An investigation of friction-based tendon sheath model appropriate for control purposes		2014-01	10.1016/j.ymssp.2013.08.014	血管介入 / 中期	力波动与扰动补偿 | 待核实/跨域方法/网页	中	肌腱鞘摩擦、滞回与回差建模；通用手术传动参考。	1	1	The tendon sheath mechanism plays an important role in many robotic systems from surgical devices to robot hands. However, many unexpected properties …
517	517	否	Dynamic Hysteresis Compensation for Tendon-Sheath Mechanism in Flexible Surgical Robots Without Distal Perception	Qian Gao; Guanglin Ji; Minyi Sun; Yin Xiao; Huaiyuan Rao; Zhenglong Sun	2025	10.1109/TRO.2025.3577011	血管介入 / 中期 | 血管介入 / 反冲补偿	力波动与扰动补偿 | 待核实/跨域方法/网页	中	无远端感知的肌腱鞘动态滞回补偿；通用参考。	4	4	The accurate position transmission of tendon-sheath mechanisms (TSMs) is challenging but of significance to the flexible robot for minimally invasive surgery. The challenges are mainly attributed to the following: first, the tendon-elongation and its caused hysteresis that depend on the route configuration of the TSM and could result in misaligned position transmission; second, realistic surgical 
523	523	否	Hysteresis Modeling and Compensation for Tendon-Sheath Mechanisms in Robot-Assisted Endoscopic Surgery Based on the Modified Bouc-Wen Model With Decoupled Model Parameters	Zixin Zhang; Guanghao Zhang; Shuxin Wang; Chaoyang Shi	2023-05	10.1109/TMRB.2023.3249234	血管介入 / 中期	力波动与扰动补偿 | 待核实/跨域方法/网页	中	改进Bouc–Wen肌腱鞘滞回补偿；通用参考。	1	1	The tendon-sheath mechanism (TSM) has been widely applied in flexible endoscopy (FE) and natural orifice transluminal endoscopic surgery (NOTES) owing to its advantages of remote force and displacement transmission, size reduction, compactness, and convenient implementation. However, the positioning accuracy of TSMs is highly restrained by the motion hysteresis due to the complex friction conditio
525	525	否	Cable-driven interventional operation robot with Stribeck friction feedforward compensation	Shuxiang Guo; Changqi Xu; Nan Xiao; Xianqiang Bao; Yan Zhao; Cheng Yang; Rui Shen	2017-08	10.1109/ICMA.2017.8016088	血管介入 / 中期	力波动与扰动补偿 | 非夹持式连续输送	中	介入操作机器人Stribeck摩擦前馈补偿；连续传动/夹持型式需核实。	1	1	The interventional surgery is a type of minimally invasive operation which can reduce hospitalization time and greatly decrease patient morbidity compared to traditional methods. In previous work, the interventional operation robot was developed to send catheter or guidewire. The master side was a Phantom device and the PID control was used through upper machine. To further improve the precision a
532	532	否	Hysteresis modeling and position control of tendon-sheath mechanism in flexible endoscopic systems	T.N. Do; T. Tjahjowidodo; M.W.S. Lau; T. Yamamoto; S.J. Phee	2014-02	10.1016/j.mechatronics.2013.11.003	血管介入 / 中期	力波动与扰动补偿 | 待核实/跨域方法/网页	中	肌腱鞘滞回建模与位置控制；通用参考。	1	1	Tendon-sheath mechanism has ‘‘revolutionized’’ the use of ﬂexible endoscopic systems, by its many advantages of high maneuverability, lightweight, low cost, and simple design. However, nonlinear phenomena such as friction and backlash hysteresis present major challenges for motion control of the tool tips. This paper introduces a new mathematical model and a control scheme for the tendon-sheath me
541	541	否	Elongation Modeling and Compensation for the Flexible Tendon--Sheath System	Zhenglong Sun; Zheng Wang; Soo Jay Phee	2014-08	10.1109/TMECH.2013.2278613	血管介入 / 中期	力波动与扰动补偿 | 待核实/跨域方法/网页	中	柔性肌腱鞘伸长建模与补偿；通用参考。	1	1	In tendon-driven systems, the elongation of the tendon would result in inaccuracy in the position control of the system. This becomes a critical challenge for those applications, such as surgical robots, which require the tendon–sheath system with ﬂexible and even time-varying conﬁgurations but lack of corresponding sensory feedback at the distal end due to spatial restrictions. In this paper, we 
542	542	否	On Integrating Friction Dynamics into Cosserat Models for Tendon-Driven Continuum Manipulators	Filipe Pedrosa; Navid Feizi; Elaheh Arefinia; Jagadeesan Jayender; Rajni V Patel	2024-10	10.36227/techrxiv.172792910.08993696/v1	血管介入 / 中期	力波动与扰动补偿 | 待核实/跨域方法/网页	低	Cosserat连续体摩擦动力学；跨域预印本。	1	1	<jats:p>This paper addresses the challenge of modeling distributed tendon tensions and friction losses in tendon-driven continuum manipulators, with a particular focus on cardiac ablation catheters. Tendon compliance and friction between the tendons and the inner channels of the catheter's sheath introduce several undesired effects, such as motion history-dependent frictional dynamics (friction hy
566	566	否	An Endovascular Catheterization Robotic System Using Collaborative Operation with Magnetically Controlled Haptic Force Feedback	Xinming Li; Shuxiang Guo; Peng Shi; Xiaoliang Jin; Masahiko Kawanishi	2022-03	10.3390/mi13040505	血管介入 / 夹持机构	夹持式机构 | 近端力与扭矩感知 | 力反馈与安全控制 | 主从人机交互	高	从端采用新型抓持装置、负载元件和扭矩传感器，并提供磁流变触觉反馈。	2	1	Robot-assisted technology is often used to perform endovascular catheterization surgeries, which generally depend on the flexible operability and the accurate force feedback of a robotic system. In this paper, an endovascular catheterization robotic ...
575	575	否	Towards Characterization and Adaptive Compensation of Backlash in a Novel Robotic Catheter System for Cardiovascular Interventions	Olatunji Mumini Omisore; Shi Peng Han; Ling Xue Ren; Guo Shuai Wang; Fang Liang Ou; Hui Li; Lei Wang	2018-08	10.1109/TBCAS.2018.2825359	血管介入 / 中期 | 血管介入 / 传感方法 | 血管介入 / 反冲补偿	力波动与扰动补偿 | 力反馈与安全控制 | 近端力与扭矩感知	高	血管导管系统回差表征、自适应补偿与接触力调制。	3	3	Despite the success and prospects of the robotic catheter system for the cardiovascular access, loss of vision, and haptics have limited its global adoption. A direct implication is the great difficulty posed when trying to eliminate the backlash in catheters during vascular cannulations. As a result, physicians and patients end up been exposed to high radiation for a long period of time. Existing
587	587	否	Smart and Sensing Endovascular Robot Sentante	Tomas Baltrūnas; Vaidas Labunskas; Vilius Dambrauskas; Evaldas Kalvaitis; Vilhelmas Bajoras	2022-04	10.1016/j.jvs.2022.01.059	血管介入 / 实例	临床验证、产品与系统实例 | 力反馈与安全控制 | 主从人机交互	高	Sentante动物实验与触觉反馈产品验证。	1	1	Methods: One pig (age, 4 months; weight, 32 kg) was used in the experiment. Three different wires, ranging from 0.014 in. to 0.035 in. were tested by three doctors (different specialties, different experience levels). A total of 19 target arteries were set as the goal. Results: The technical success rate was 100%, and the number of injured vessels was 0%. All the participants commented that the Se
604	604	否	The CathPilot: A Novel Approach for Accurate Interventional Device Steering and Tracking	James J. Zhou; Amaar Quadri; Alykhan Sewani; Yara Alawneh; Rene Gilliland-Rocque; Christopher Magnin; Andrew Dueck; Graham A. Wright; M. Ali Tavallaei	2022-12	10.1109/TMECH.2022.3188955	血管介入 / 中期	导管屈曲/形态感知 | 主从人机交互	中	可扩张缆驱机构用于器械操控和定位；摘要不足以确认其为夹持式换手机构。	1	1	Accurate device navigation and control are significant challenges in various minimally invasive cardiovascular interventions. The long length of the devices used (e.g., catheters and guidewires), their high flexibility, and their engagement with the tortuous anatomy limit the accurate and reliable control and navigation of the device's tip. This article aims to design, develop, and assess a novel 
606	606	否	In-Vivo Validation of a Novel Robotic Platform for Endovascular Intervention	Giulio Dagnino; Dennis Kundrat; Trevor M. Y. Kwok; Mohamed E. M. K. Abdelaziz; Wenqiang Chi; Anh Nguyen; Celia Riga; Guang-Zhong Yang	2023-06	10.1109/TBME.2022.3227734	血管介入 / 中期	夹持式机构 | 力反馈与安全控制 | 主从人机交互 | 临床验证、产品与系统实例	高	CathBot在体平台，明确使用定制气动夹具和防屈曲支撑。	1	1	Objective: In-vivo validation on animal setting of a pneumatically propelled robot for endovascular intervention, to determine safety and clinical advantage of robotic cannulations compared to manual operation. Methods: Robotic assistance and image-guided intervention are increasingly used for improving endovascular procedures with enhanced navigation dexterity and accuracy. However, most platform
608	513	是	An investigation of friction-based tendon sheath model appropriate for control purposes	T. N. Do; T. Tjahjowidodo; M. W. S. Lau; S. J. Phee	2014-01	10.1016/j.ymssp.2013.08.014	血管介入 / 中期	力波动与扰动补偿 | 待核实/跨域方法/网页	中	与itemID 513同DOI/题名的重复记录。	1	1	The tendon sheath mechanism plays an important role in many robotic systems from surgical devices to robot hands. However, many unexpected properties such as nonlinear hysteresis and backlash, which appear in the tendon sheath system, cause major losses in force transmission. This report deals with the characterization of hysteresis phenomenon, which is attributed to the presence of frictional eff
642	642	否	Robust Three-Dimensional Shape Sensing for Flexible Endoscopic Surgery Using Multi-Core FBG Sensors	Yiang Lu; Bo Lu; Bin Li; Huanhuan Guo; Yun-hui Liu	2021-07	10.1109/LRA.2021.3067279	血管介入 / 中期	导管屈曲/形态感知 | 力波动与扰动补偿 | 待核实/跨域方法/网页	中	FBG形态滤波与噪声抑制；柔性内窥镜跨域参考。	1	1	In this letter, we propose a novel 3D shape sensing algorithm for flexible endoscopic surgery using multi-core fiber Bragg grating (FBG) sensors. Considering the signal noises and environmental perturbations, the direct use of FBG measurements for shape sensing and position estimation is regarded as far from accurate and stable, especially when utilized in the sensing of long and flexible surgical
644	644	否	腔道介入交互约束下的柔性机器人具身形态感知方法	黎定佳; 郭钰琪; 杨永明; 李锐; 刘连庆; 刘浩	2025-07	10.13973/j.cnki.robot.250202	血管介入 / 中期	导管屈曲/形态感知 | 力波动与扰动补偿 | 待核实/跨域方法/网页	中	FBG形态/阻塞感知与间歇介入策略；腔道机器人跨域参考。	2	2	<p>腔道疾病是最常见的人体疾病，柔性手术机器人因其柔顺性可以介入曲折狭窄的腔道，但是容易因接触交互而受阻。为了提升介入的安全性及智能化水平，提出了一种基于光纤布拉格光栅（FBG）的具身形态感知方法，从形态信息的采集、处理、理解到行为决策的层面实现机器人从本体形态感知到认知的过程。首先基于离散圆弧假设实现多芯FBG光纤的形状重建，然后通过逐步提取邻域圆弧状态的影响的方式，提出了一种改进的移动平均滤波（IMAF）方法，实现信号噪声的平滑处理。同时提出一种基于时―空变化的阻塞检测方法，通过与环境的动态交互对形状进行理解。利用理解得到的交互状态，采用基于仿人操作和瞬时全局一致性指数（IGII）的间歇式介入策略，保证介入的柔顺性。最后开展仿真实验和实物实验，通过与不同的滤波方法比较证明了IMAF方法的先进性，并且通过不同的场景验证阻塞检测方法以及介入方法的可行性及有效性。</p>
647	647	否	Coiled tubing friction reduction of plug milling in long horizontal well with vibratory tool	Yongquan Hu; Jin Zhao; Jinzhou Zhao; Chaoneng Zhao; Qiang Wang; Xing Zhao; Yan Zhang	2019-06	10.1016/j.petrol.2019.02.042	血管介入 / 中期	待核实/跨域方法/网页	低	油井连续管摩擦论文，与血管介入无关。	2	2	With the rapid increase in the exploitation of shale reservoirs in the Sichuan province of China, the demand for long horizontal wells for contacting reservoirs has also significantly expanded. With increasing horizontal sections, the coiled tubing (CT) penetration depth and efficiency of the surface weight transferred to the weight-on-bit (WOB) downhole are limited by the friction between the CT 
650	650	否	Slip instability and state variable friction laws	Andy Ruina	1983	10.1029/JB088iB12p10359	血管介入 / 中期	力波动与扰动补偿 | 待核实/跨域方法/网页	低	岩石摩擦状态定律，与血管介入无关；仅作理论参考。	2	2	The dependence of the friction force on slip history is described by an experimentally motivated constitutive law where the friction force is dependent on slip rate and state variables. The state variables are defined macroscopically by evolution equations for their rates of change in terms of their present values and slip rate. Experiments may strongly suggest that one state variable is adequate 
654	654	否	Backlash characterization and position control of a robotic catheter manipulator using experimentally-based kinematic model	S. Hasanzadeh; F. Janabi-Sharifi; P. Keenan	2017-06	10.1016/j.mechatronics.2017.05.002	血管介入 / 反冲补偿	力波动与扰动补偿	高	机器人导管轴向/扭转回差表征与逆回差补偿。	1	1	This paper deals with the problem of position control of a robot-assisted catheter manipulator for intracardiac interventions. Kinematic controllers based on the Jacobian inverse are not suitable for the catheter because of multiple singularities in the workspace and significant backlash of the system. To tackle these issues, first, the backlash of the system in axial translation and twist motion 
656	656	否	Robotic catheter cardiac ablation combining ultrasound guidance and force control	Samuel B. Kesner; Robert D. Howe	2014-04	10.1177/0278364913511350	血管介入 / 反冲补偿	力反馈与安全控制 | 力波动与扰动补偿	高	机器人心脏导管恒力控制并补偿摩擦/回差。	4	4	Cardiac catheters allow physicians to access the inside of the heart and perform therapeutic interventions without stopping the heart or opening the chest. However, conventional manual and actuated cardiac catheters are currently unable to precisely track and manipulate the intracardiac tissue structures because of the fast tissue motion and potential for applying damaging forces. This paper addre
